"","Construction","Russian","Arabic","Guarani","Estonian","Tsaxur","Tuvan","Ingerm","Basque","French","German","Bagwalal","Japanese","Lithuanian","Kalmyk","Khmer","Bashkir","Latvian","Guro","Looma","Lezgi","GreekModern","GreekAncientr","Albanian","Spanish","Irish","Armenian","Azerbaijani","RomaniKalderash","English","MandarinChinese","Polish","Dutch","Italian","Komi.Zyrian","Ossetic","Serbian","Chukchee","NorwegianBokmål"
"1","feel_pain","intr","unknown","unknown","intr","unknown","intr","intr","unknown","intr","intr","intr","intr","intr","unknown","tr","intr","intr","intr","intr","unknown","intr","tr","intr","intr","unknown","unknown","intr","intr","unknown","unknown","intr","unknown","intr","intr","intr","intr","intr","unknown"
"2","have#illness#","intr","intr","unknown","unknown","unknown","unknown","intr","tr","tr","intr","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr","unknown","tr","unknown","unknown","intr","intr","intr","intr","unknown","tr","intr","unknown","unknown","intr","intr","unknown","unknown","tr"
"3","be_afraid","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","tr","intr","intr","intr","intr","intr","tr","tr","intr","tr","intr","intr","intr","intr","intr","tr","intr","intr","intr","intr","intr","intr","intr","intr"
"4","throw","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"5","have_enough","intr","intr","intr","intr","intr","intr","intr","unknown","unknown","intr","unknown","intr","intr","intr","unknown","intr","intr","intr","unknown","intr","intr","intr","intr","intr","unknown","intr","intr","intr","unknown","unknown","intr","unknown","intr","intr","intr","unknown","intr","unknown"
"6","resemble","intr","tr","unknown","intr","unknown","intr","unknown","unknown","intr","intr","intr","intr","intr","tr","intr","intr","tr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","tr","intr","intr","intr","intr","tr","intr","intr","intr"
"7","believe","intr","tr","intr","unknown","unknown","intr","intr","intr","tr","intr","intr","tr","intr","intr","intr","intr","intr","intr","intr","intr","tr","intr","intr","intr","intr","intr","intr","intr","tr","tr","intr","tr","intr","intr","intr","intr","intr","intr"
"8","take","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"9","see","tr","tr","tr","intr","intr","tr","tr","tr","tr","tr","intr","intr","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"10","influence","intr","intr","unknown","intr","unknown","intr","unknown","intr","intr","tr","unknown","intr","tr","tr","unknown","intr","tr","unknown","unknown","intr","tr","intr","intr","intr","intr","intr","intr","intr","tr","tr","intr","intr","tr","intr","intr","intr","tr","intr"
"11","encounter","intr","intr","tr","intr","intr","intr","intr","tr","tr","intr","intr","intr","intr","intr","intr","tr","intr","intr","tr","intr","intr","intr","intr","intr","intr","tr","intr","intr","intr","tr","tr","tr","tr","intr","intr","tr","intr","intr"
"12","enter","intr","tr","intr","intr","intr","intr","unknown","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","tr","tr","intr","tr","intr","intr","intr","intr","intr","intr"
"13","win","intr","unknown","unknown","tr","intr","tr","intr","intr","unknown","unknown","intr","intr","intr","tr","tr","tr","tr","intr","unknown","intr","tr","tr","intr","tr","intr","tr","intr","intr","tr","tr","intr","intr","intr","tr","tr","tr","intr","intr"
"14","go_outr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","unknown","tr","intr","tr","intr","intr","intr","intr","intr","intr"
