"X__1	""X__2""	""X__3""	""X__4""	""X__5""	""X__6""	""X__7""	""Russian""	""Arabic""	""Guarani""	""Estonian""	""Tsaxur""	""Tuvan""	""ингерм: упрощенный""	""Basque""	""French""	""German""	""Bagwalal""	""Japanese""	""Lithuanian""	""Kalmyk""	""Khmer""	""Bashkir""	""Latvian""	""Guro""	""Looma""	""Lezgi""	""GreekModern""	""GreekAncient""	""Albanian""	""Spanish""	""Irish""	""Armenian""	""Azerbaijani""	""RomaniKalderash""	""English""	""MandarinChinese""	""Polish""	""Dutch""	""Italian""	""Komi-Zyrian""	""Ossetic""	""Serbian""	""Chukchee""",
"1	1	""[1]""	""болеть-1""	""feel_pain""	""[1] 'feel_pain'""	""[1] 'feel_pain'","	у X-а (болеть) Y""	""i""	""?""	""?""	""I""	""?""	""i""	""i""	""?""	""i""	""i""	""i""	""I""	""i""	""?""	""t""	""i""	""I""	""I""	""I""	""?""	""i""	""t""	""i""	""i""	""?""	""?""	""i""	""i""	""?""	""?""	""i""	""?""	""i""	""i""	""i""	""i""	""i"""
"2	2	""[2]""	""болеть-2""	""have#illness#""	""[2] 'have#illness#'""	""[2] 'have#illness#'","	X (болеть) Y-ом""	""i""	""I""	""?""	""?""	""?""	""?""	""i""	""t""	""t""	""i""	""i""	""I""	""i""	""I""	""?""	""i""	""I""	""I""	""I""	""i""	""?""	""t""	""?""	""?""	""i""	""i""	""i""	""i""	""?""	""t""	""i""	""?""	""?""	""i""	""i""	""?""	""?"""
"3	3	""[3]""	""бояться""	""be_afraid""	""[3] 'be_afraid'""	""[3] 'be_afraid'","	X (бояться) Y-а""	""i""	""I""	""I""	""I""	""I""	""i""	""i""	""i""	""i""	""i""	""i""	""?""	""i""	""I""	""t""	""i""	""I""	""I""	""I""	""i""	""t""	""t""	""i""	""t""	""i""	""i""	""i""	""i""	""i""	""t""	""i""	""i""	""i""	""i""	""i""	""i""	""i"""
"4	4	""[4]""	""бросить""	""throw""	""[4] 'throw'""	""[4] 'throw'","	X (бросить) Y(-а)""	""t""	""t""	""t""	""?""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t"""
"5	5	""[5]""	""быть достаточно""	""have_enough""	""[5] 'have_enough'""	""[5] 'have_enough'","	X-у (быть достаточно) Y-а""	""i""	""I""	""I""	""I""	""I""	""i""	""i""	""?""	""?""	""i""	""?""	""I""	""i""	""I""	""?""	""i""	""I""	""I""	""?""	""i""	""i""	""i""	""i""	""i""	""?""	""i""	""i""	""i""	""?""	""?""	""i""	""?""	""i""	""i""	""i""	""?""	""i"""
"6	6	""[6]""	""быть похожим""	""resemble""	""[6] 'resemble'""	""[6] 'resemble'","	X (быть похожим) на У(-а)""	""i""	""t""	""?""	""I""	""?""	""i""	""?""	""?""	""i""	""i""	""i""	""I""	""i""	""t""	""I""	""i""	""t""	""I""	""I""	""i""	""i""	""i""	""i""	""i""	""i""	""i""	""i""	""i""	""i""	""t""	""i""	""i""	""i""	""i""	""t""	""i""	""i"""
"7	7	""[7]""	""верить""	""believe""	""[7] 'believe'""	""[7] 'believe'","	X (верить)Y-у""	""i""	""t""	""I""	""?""	""?""	""i""	""i""	""i""	""t""	""i""	""i""	""t""	""i""	""I""	""I""	""i""	""I""	""I""	""I""	""i""	""t""	""i""	""i""	""i""	""i""	""i""	""i""	""i""	""t""	""t""	""i""	""t""	""i""	""i""	""i""	""i""	""i"""
"8	8	""[8]""	""взять""	""take""	""[8] 'take'""	""[8] 'take'","	X (брать) Y(-а)""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t"""
"9	9	""[9]""	""видеть""	""see""	""[9] 'see'""	""[9] 'see'","	X (видеть) Y(-а)""	""t""	""t""	""t""	""I""	""I""	""t""	""t""	""t""	""t""	""t""	""i""	""I""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""i""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t""	""t"""
"10	10	""[10]""	""влиять""	""influence""	""[10] 'influence'""	""[10] 'influence'","	X (влиять) на Y(-а)""	""i""	""I""	""?""	""I""	""?""	""i""	""?""	""i""	""i""	""t""	""?""	""I""	""t""	""t""	""?""	""i""	""t""	""?""	""?""	""i""	""t""	""i""	""i""	""i""	""i""	""i""	""i""	""i""	""t""	""t""	""i""	""i""	""t""	""i""	""i""	""i""	""t"""
