Construction,Russian,Arabic,Guarani,Estonian,Tsaxur,Tuvan,Ingerm,Basque,French,German,Bagwalal,Japanese,Lithuanian,Kalmyk,Khmer,Bashkir,Latvian,Guro,Looma,Lezgi,GreekModern,GreekAncientr,Albanian,Spanish,Irish,Armenian,Azerbaijani,RomaniKalderash,English,MandarinChinese,Polish,Dutch,Italian,Komi.Zyrian,Ossetic,Serbian,Chukchee,NorwegianBokm
feel_pain,intr,unknown,unknown,intr,unknown,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,tr,intr,intr,intr,intr,unknown,intr,tr,intr,intr,unknown,unknown,intr,intr,unknown,unknown,intr,unknown,intr,intr,intr,intr,intr,unknown
have#illness#,intr,intr,unknown,unknown,unknown,unknown,intr,tr,tr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,tr,unknown,unknown,intr,intr,intr,intr,unknown,tr,intr,unknown,unknown,intr,intr,unknown,unknown,tr
be_afraid,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,tr,intr,intr,intr,intr,intr,tr,tr,intr,tr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr
throw,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
have_enough,intr,intr,intr,intr,intr,intr,intr,unknown,unknown,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,intr,intr,intr,unknown,unknown,intr,unknown,intr,intr,intr,unknown,intr,unknown
resemble,intr,tr,unknown,intr,unknown,intr,unknown,unknown,intr,intr,intr,intr,intr,tr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,tr,intr,intr,intr
believe,intr,tr,intr,unknown,unknown,intr,intr,intr,tr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,tr,tr,intr,tr,intr,intr,intr,intr,intr,intr
take,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
see,tr,tr,tr,intr,intr,tr,tr,tr,tr,tr,intr,intr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
influence,intr,intr,unknown,intr,unknown,intr,unknown,intr,intr,tr,unknown,intr,tr,tr,unknown,intr,tr,unknown,unknown,intr,tr,intr,intr,intr,intr,intr,intr,intr,tr,tr,intr,intr,tr,intr,intr,intr,tr,intr
encounter,intr,intr,tr,intr,intr,intr,intr,tr,tr,intr,intr,intr,intr,intr,intr,tr,intr,intr,tr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,tr,tr,tr,tr,intr,intr,tr,intr,intr
enter,intr,tr,intr,intr,intr,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,tr,intr,tr,intr,intr,intr,intr,intr,intr
