Continent,Family,Group
Eurasia,IndoEuropean,Slavic
Africa,Afroasiatic,Semitic
SouthAmerica,Tupian,TupiGuarani
Eurasia,Uralic,Finnic
Eurasia,NakhDaghestanian,Lezgic
Eurasia,Altaic,Turkic
Eurasia,Uralic,Finnic
Eurasia,Basque,Basque
Eurasia,IndoEuropean,Romance
Eurasia,IndoEuropean,Germanic
Eurasia,NakhDaghestanian,AvarAndicTsezic
Eurasia,Japanese,Japanese
Eurasia,IndoEuropean,Baltic
Eurasia,Altaic,Mongolic
SEAsiaOceania,AustroAsiatic,Khmer
Eurasia,Altaic,Turkic
Eurasia,IndoEuropean,Baltic
Africa,NigerCongo,EasternMande
Africa,NigerCongo,WesternMande
Eurasia,NakhDaghestanian,Lezgic
Eurasia,IndoEuropean,Greek
Eurasia,IndoEuropean,Greek
Eurasia,IndoEuropean,Albanian
Eurasia,IndoEuropean,Romance
Eurasia,IndoEuropean,Celtic
Eurasia,IndoEuropean,Armenian
Eurasia,Altaic,Turkic
Eurasia,IndoEuropean,Indic
Eurasia,IndoEuropean,Germanic
SEAsiaOceania,SinoTibetan,Chinese
Eurasia,IndoEuropean,Slavic
Eurasia,IndoEuropean,Germanic
Eurasia,IndoEuropean,Romance
Eurasia,Uralic,Finnic
Eurasia,IndoEuropean,Iranian
Eurasia,IndoEuropean,Slavic
Eurasia,ChukotkoKamchatkan,NorthernChukotkoKamchatkan
Eurasia,IndoEuropean,Germanic
